,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
110,Louisiana-Monroe,Sun Belt,,4,8,6.34,-17.22,-10.88,45.71,31.44,9.70,8.45,5.41,5.20,7.51,6.44
111,Western Kentucky,CUSA (East),,6,7,-3.54,-7.45,-10.99,33.52,21.39,8.39,6.64,2.37,4.09,6.07,5.02
112,Idaho,Sun Belt,,4,8,-11.24,-0.11,-11.35,27.50,15.61,7.71,6.17,3.74,3.68,5.66,4.60
113,South Alabama,Sun Belt,,4,8,-13.54,1.83,-11.71,27.12,15.23,7.55,6.33,3.48,3.83,5.72,4.86
114,Connecticut,American (East),,3,9,-5.15,-7.14,-12.29,33.74,22.00,8.45,7.32,4.23,4.08,6.27,5.62
115,Kansas,Big 12,,1,11,-7.24,-5.11,-12.35,34.86,24.11,7.44,7.22,4.25,3.37,5.98,4.84
116,East Carolina,American (East),,3,9,-1.43,-10.94,-12.37,38.78,32.04,8.04,9.29,4.23,5.21,6.47,6.73
117,Bowling Green State,MAC (East),,2,10,-1.02,-12.09,-13.11,39.18,28.06,7.92,7.12,5.23,5.27,6.62,5.87
118,Oregon State,Pac-12 (North),,1,11,-4.65,-8.92,-13.57,36.27,25.82,8.15,6.52,4.74,4.48,6.44,5.10
119,Hawaii,MWC (West),,3,9,-5.99,-7.77,-13.76,33.11,23.76,7.73,7.95,5.45,4.64,6.72,5.78
120,Old Dominion,CUSA (East),,5,7,-8.57,-5.38,-13.95,29.87,22.38,6.46,6.67,4.92,4.26,5.73,4.99
121,Louisiana,Sun Belt,,5,7,-2.62,-12.89,-15.51,35.61,30.83,7.31,7.52,5.29,4.99,6.34,5.80
122,Georgia Southern,Sun Belt,,2,10,-10.57,-6.26,-16.83,31.09,22.51,7.82,7.42,4.93,4.90,5.75,5.78
123,Coastal Carolina,Sun Belt,,3,9,-7.50,-9.70,-17.20,31.31,25.83,8.00,7.45,4.69,4.02,6.14,5.33
124,Kent State,MAC (East),,2,10,-14.75,-2.92,-17.66,25.13,22.04,7.45,6.80,4.36,4.68,5.46,5.32
125,Rice,CUSA (West),,1,11,-11.72,-6.65,-18.37,28.48,26.29,8.10,7.99,5.19,4.18,6.34,5.61
126,San Jose State,MWC (West),,2,11,-10.41,-7.98,-18.40,29.65,30.76,7.40,6.82,4.22,4.66,5.81,5.25
127,Ball State,MAC (West),,2,10,-11.28,-7.99,-19.27,28.69,31.77,6.30,8.03,4.37,5.06,5.38,6.03
128,Texas State,Sun Belt,,2,10,-12.88,-6.44,-19.31,26.37,25.20,7.29,8.12,3.88,3.42,5.53,5.42
129,Charlotte,CUSA (East),,1,11,-14.14,-6.11,-20.25,24.73,24.58,6.24,7.32,5.40,4.50,5.86,5.44
130,UTEP,CUSA (West),,0,12,-18.77,-4.98,-23.75,21.71,24.04,5.85,6.37,3.86,4.58,4.96,5.01
