Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
201,4,Sep 14 2019,,Sat,Nevada,19,,Weber State,13,MacKay Stadium - Reno Nevada
202,4,Sep 14 2019,,Sat,Northwestern,30,,Nevada-Las Vegas,14,Ryan Field - Evanston Illinois
203,4,Sep 14 2019,,Sat,(7) Notre Dame,66,,New Mexico,14,Notre Dame Stadium - South Bend Indiana
204,4,Sep 14 2019,,Sat,(6) Ohio State,51,@,Indiana,10,Memorial Stadium "The Rock" - Bloomington Indiana
205,4,Sep 14 2019,,Sat,(5) Oklahoma,48,@,UCLA,14,Rose Bowl - Pasadena California
206,4,Sep 14 2019,,Sat,Oklahoma State,40,@,Tulsa,21,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
207,4,Sep 14 2019,,Sat,(15) Oregon,35,,Montana,3,Autzen Stadium - Eugene Oregon
208,4,Sep 14 2019,,Sat,Oregon State,45,,Cal Poly,7,Reser Stadium - Corvallis Oregon
209,4,Sep 14 2019,,Sat,(13) Penn State,17,,Pittsburgh,10,Beaver Stadium - University Park Pennsylvania
210,4,Sep 14 2019,,Sat,San Diego State,31,@,New Mexico State,10,Aggie Memorial Stadium - Las Cruces New Mexico
211,4,Sep 14 2019,,Sat,South Florida,55,,South Carolina State,16,Raymond James Stadium - Tampa Florida
212,4,Sep 14 2019,,Sat,Southern Methodist,47,,Texas State,17,Gerald J. Ford Stadium - Dallas Texas
213,4,Sep 14 2019,,Sat,Southern Mississippi,47,@,Troy,42,Veterans Memorial Stadium - Troy Alabama
214,4,Sep 14 2019,,Sat,Temple,20,,(21) Maryland,17,Lincoln Financial Field - Philadelphia Pennsylvania
215,4,Sep 14 2019,,Sat,Tennessee,45,,Chattanooga,0,Neyland Stadium - Knoxville Tennessee
216,4,Sep 14 2019,,Sat,(12) Texas,48,N,Rice,13,NRG Stadium - Houston Texas
217,4,Sep 14 2019,,Sat,(16) Texas A&M,62,,Lamar,3,Kyle Field - College Station Texas
218,4,Sep 14 2019,,Sat,Texas Christian,34,@,Purdue,13,Ross-Ade Stadium - West Lafayette Indiana
219,4,Sep 14 2019,,Sat,Toledo,45,,Murray State,0,Glass Bowl - Toledo Ohio
220,4,Sep 14 2019,,Sat,Tulane,58,,Missouri State,6,Yulman Stadium - New Orleans Louisiana
221,4,Sep 14 2019,,Sat,(11) Utah,31,,Idaho State,0,Rice-Eccles Stadium - Salt Lake City Utah
222,4,Sep 14 2019,,Sat,(25) Virginia,31,,Florida State,24,Scott Stadium - Charlottesville Virginia
223,4,Sep 14 2019,,Sat,Virginia Tech,24,,Furman,17,Lane Stadium - Blacksburg Virginia
224,4,Sep 14 2019,,Sat,(23) Washington,52,,Hawaii,20,Husky Stadium - Seattle Washington
225,4,Sep 14 2019,,Sat,West Virginia,44,,North Carolina State,27,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
226,4,Sep 14 2019,,Sat,Western Michigan,57,,Georgia State,10,Waldo Stadium - Kalamazoo Michigan
227,4,Sep 14 2019,,Sat,Wyoming,21,,Idaho,16,Jonah Field War Memorial Stadium - Laramie Wyoming
228,5,Sep 19 2019,,Thu,Tulane,38,,Houston,31,Yulman Stadium - New Orleans Louisiana
229,5,Sep 20 2019,,Fri,(20) Boise State,30,,Air Force,19,Albertsons Stadium - Boise Idaho
230,5,Sep 20 2019,,Fri,Louisiana Tech,43,,Florida International,31,Joe Aillet Stadium - Ruston Louisiana
231,5,Sep 20 2019,,Fri,Southern California,30,,(10) Utah,23,Los Angeles Memorial Coliseum - Los Angeles California
232,5,Sep 21 2019,,Sat,(2) Alabama,49,,Southern Mississippi,7,Bryant-Denny Stadium - Tuscaloosa Alabama
233,5,Sep 21 2019,,Sat,Alabama-Birmingham,35,,South Alabama,3,Legion Field - Birmingham Alabama
234,5,Sep 21 2019,,Sat,Appalachian State,34,@,North Carolina,31,Kenan Memorial Stadium - Chapel Hill North Carolina
235,5,Sep 21 2019,,Sat,Arkansas State,41,,Southern Illinois,28,Centennial Bank Stadium - Jonesboro Arkansas
236,5,Sep 21 2019,,Sat,Army,52,,Morgan State,21,Michie Stadium - West Point New York
237,5,Sep 21 2019,,Sat,(8) Auburn,28,@,(17) Texas A&M,20,Kyle Field - College Station Texas
238,5,Sep 21 2019,,Sat,Baylor,21,@,Rice,13,Rice Stadium - Houston Texas
